metric,text,details,type,overText,choices
Interested,Interested,Interested: showing curiosity or concern about something or someone; having a feeling of interest.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Irritable,Irritable,Irritable: Having or showing a tendency to be easily annoyed or made angry.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Distressed,Distressed,"Distressed: Suffering from anxiety, sorrow, or pain.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Alert,Alert,Alert: Quick to notice any unusual and potentially dangerous or difficult circumstances; vigilant.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Excited,Excited,Excited: To be very enthusiastic and eager.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Ashamed,Ashamed,"Ashamed: Embarrassed or guilty because of one's actions, characteristics, or associations.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Upset,Upset,"Upset: A state of being unhappy, disappointed, or worried.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Inspired,Inspired,"Inspired: Of extraordinary quality, as if arising from some external creative impulse.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Strong,Strong,"Strong: Able to withstand great force or pressure; not easily disturbed, upset, or affected.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Nervous,Nervous,Nervous: Easily agitated or alarmed; tending to be anxious; highly strung.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Guilty,Guilty,Guilty: Conscious of or affected by a feeling of guilt;culpable of or responsible for specified wrongdoing.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Determined,Determined,Determined: Having made a firm decision and being resolved not to change it; processing or displaying resolve.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Scared,Scared,Scared: Fearful; frightened.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Attentive,Attentive,Attentive: Paying close attention to something.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Hostile,Hostile,Hostile: Unfriendly; antagonistic.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Jittery,Jittery,Jittery: Nervous or unable to relax.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Enthusiastic,Enthusiastic,"Enthusiastic: Having or showing intense and eager enjoyment, interest, or approval.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Active,Active,Active: Engaging or ready to engage in physically energetic pursuits.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Proud,Proud,"Proud: Feeling deep pleasure or satisfaction as a result of one's own achievements, qualities, or possessions or those of someone with whom one is closely associated.",segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
Afraid,Afraid,Afraid: Feeling fear or anxiety; frightened.,segment,To what extent do you feel this way?,"[""Not at All"",""A Little"",""Moderately"",""Quite a Bit"",""Extremely""]"
